Skill
Python
Java
C
C++
SQL
HTML
CSS
JavaScript
React
Node.js
Machine Learning
Deep Learning
Artificial Intelligence
Data Science
Pandas
NumPy
Matplotlib
Seaborn
TensorFlow
Keras
PyTorch
Scikit-learn
Git
GitHub
Docker
AWS
Linux
Power BI
Excel
Tableau
MongoDB
MySQL
